"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,4.723209,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1989","1989","PC","Percentage","0","Units",,,3.469167,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1990","1990","PC","Percentage","0","Units",,,3.137402,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,1.833074,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,1.530655,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,-0.961873,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,3.226971,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,2.384757,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1996","1996","PC","Percentage","0","Units",,,1.593571,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1997","1997","PC","Percentage","0","Units",,,3.710197,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1998","1998","PC","Percentage","0","Units",,,1.975512,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1999","1999","PC","Percentage","0","Units",,,3.563094,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2000","2000","PC","Percentage","0","Units",,,3.633841,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2001","2001","PC","Percentage","0","Units",,,0.811644,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2002","2002","PC","Percentage","0","Units",,,1.780253,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2003","2003","PC","Percentage","0","Units",,,0.774498,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2004","2004","PC","Percentage","0","Units",,,3.634777,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2005","2005","PC","Percentage","0","Units",,,2.094485,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2006","2006","PC","Percentage","0","Units",,,2.499135,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2007","2007","PC","Percentage","0","Units",,,3.397493,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2008","2008","PC","Percentage","0","Units",,,0.747284,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2009","2009","PC","Percentage","0","Units",,,-2.285113,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2010","2010","PC","Percentage","0","Units",,,2.695145,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2011","2011","PC","Percentage","0","Units",,,1.79663,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2012","2012","PC","Percentage","0","Units",,,0.137052,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2013","2013","PC","Percentage","0","Units",,,-0.062349,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.646183,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2015","2015","PC","Percentage","0","Units",,,1.476059,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,1.192979,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,4.117658,"E","Estimated value"
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,5.445856,"E","Estimated value"
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,6.964203,"E","Estimated value"
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,3.690988,"E","Estimated value"
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,1.822973,"E","Estimated value"
